dynamic time in msek,amount of triples inserted,generation time in msek,dbsize in triples
247.65729904174805,1,1654.8407077789307,1000001
902.5359153747559,1001,1807.2235584259033,1000001
1105.5915355682373,2001,1544.7001457214355,1000001
1468.686580657959,3001,1511.225700378418,1000001
1844.9270725250244,4001,1458.4105014801025,1000001
2078.861951828003,5001,1424.076795578003,1000001
2415.9598350524902,6001,1676.9616603851318,1000001
2639.5103931427,7001,1474.68900680542,1000001
3002.5832653045654,8001,1624.8106956481934,1000001
3287.3003482818604,9001,1452.263355255127,1000001
