insert time in msek,insert size,dbsize in triples
6290.82465171814,1,1000000
477.4494171142578,1001,1000000
457.75556564331055,2001,1000000
572.7126598358154,3001,1000000
683.626651763916,4001,1000000
652.6772975921631,5001,1000000
799.4370460510254,6001,1000000
902.1420478820801,7001,1000000
1271.8091011047363,8001,1000000
6.490468978881836,1,1010000
144.40464973449707,1001,1010000
298.0613708496094,2001,1010000
402.5750160217285,3001,1010000
512.7038955688477,4001,1010000
622.5976943969727,5001,1010000
798.7856864929199,6001,1010000
873.1803894042969,7001,1010000
986.7854118347168,8001,1010000
5.441188812255859,1,1020000
136.9650363922119,1001,1020000
269.1648006439209,2001,1020000
389.76025581359863,3001,1020000
527.8816223144531,4001,1020000
632.4853897094727,5001,1020000
756.2007904052734,6001,1020000
897.7358341217041,7001,1020000
1000.4065036773682,8001,1020000
5.347251892089844,1,1030000
143.2175636291504,1001,1030000
264.4233703613281,2001,1030000
380.0199031829834,3001,1030000
508.47506523132324,4001,1030000
653.9113521575928,5001,1030000
746.962308883667,6001,1030000
861.234188079834,7001,1030000
1016.3073539733887,8001,1030000
5.59687614440918,1,1040000
133.7757110595703,1001,1040000
263.2410526275635,2001,1040000
387.94612884521484,3001,1040000
507.3091983795166,4001,1040000
630.9587955474854,5001,1040000
786.0944271087646,6001,1040000
878.225564956665,7001,1040000
1002.7875900268555,8001,1040000
5.025386810302734,1,1050000
132.27057456970215,1001,1050000
257.51757621765137,2001,1050000
407.3677062988281,3001,1050000
512.2485160827637,4001,1050000
634.3920230865479,5001,1050000
754.746675491333,6001,1050000
904.531717300415,7001,1050000
1003.8442611694336,8001,1050000
5.305051803588867,1,1060000
131.52575492858887,1001,1060000
256.93392753601074,2001,1060000
385.8218193054199,3001,1060000
535.4983806610107,4001,1060000
640.1538848876953,5001,1060000
762.3999118804932,6001,1060000
868.0844306945801,7001,1060000
1017.1258449554443,8001,1060000
5.192041397094727,1,1070000
138.0624771118164,1001,1070000
260.6484889984131,2001,1070000
387.5575065612793,3001,1070000
511.23690605163574,4001,1070000
664.8976802825928,5001,1070000
766.3192749023438,6001,1070000
881.615400314331,7001,1070000
1039.323091506958,8001,1070000
4.816770553588867,1,1080000
135.5299949645996,1001,1080000
271.0573673248291,2001,1080000
395.7345485687256,3001,1080000
516.441822052002,4001,1080000
640.1228904724121,5001,1080000
797.6453304290771,6001,1080000
893.4154510498047,7001,1080000
1013.9951705932617,8001,1080000
4.597663879394531,1,1090000
134.50217247009277,1001,1090000
254.3776035308838,2001,1090000
408.76150131225586,3001,1090000
508.450984954834,4001,1090000
634.9983215332031,5001,1090000
766.4868831634521,6001,1090000
924.7589111328125,7001,1090000
1001.568078994751,8001,1090000
4.86302375793457,1,1100000
137.3004913330078,1001,1100000
262.0584964752197,2001,1100000
396.0545063018799,3001,1100000
546.196699142456,4001,1100000
643.7547206878662,5001,1100000
773.7812995910645,6001,1100000
895.3907489776611,7001,1100000
1051.79762840271,8001,1100000
4.6539306640625,1,1110000
133.2101821899414,1001,1110000
259.89222526550293,2001,1110000
387.5868320465088,3001,1110000
510.75124740600586,4001,1110000
657.8266620635986,5001,1110000
768.8255310058594,6001,1110000
882.9946517944336,7001,1110000
1030.388355255127,8001,1110000
4.317522048950195,1,1120000
138.31400871276855,1001,1120000
267.91977882385254,2001,1120000
395.81966400146484,3001,1120000
518.5298919677734,4001,1120000
643.7089443206787,5001,1120000
808.2470893859863,6001,1120000
888.2694244384766,7001,1120000
1008.8748931884766,8001,1120000
4.279613494873047,1,1130000
132.07411766052246,1001,1130000
264.48917388916016,2001,1130000
414.26897048950195,3001,1130000
513.8251781463623,4001,1130000
637.2132301330566,5001,1130000
761.3108158111572,6001,1130000
910.7511043548584,7001,1130000
1014.9970054626465,8001,1130000
4.301309585571289,1,1140000
136.70587539672852,1001,1140000
267.3656940460205,2001,1140000
394.8819637298584,3001,1140000
518.0890560150146,4001,1140000
667.8059101104736,5001,1140000
783.9643955230713,6001,1140000
891.1361694335938,7001,1140000
1038.1169319152832,8001,1140000
4.383325576782227,1,1150000
135.43343544006348,1001,1150000
259.1421604156494,2001,1150000
385.601282119751,3001,1150000
512.3190879821777,4001,1150000
637.1910572052002,5001,1150000
791.5084362030029,6001,1150000
887.1395587921143,7001,1150000
1028.735876083374,8001,1150000
4.239320755004883,1,1160000
137.10546493530273,1001,1160000
263.0736827850342,2001,1160000
390.54012298583984,3001,1160000
516.7174339294434,4001,1160000
643.4051990509033,5001,1160000
797.7957725524902,6001,1160000
893.9552307128906,7001,1160000
1010.260820388794,8001,1160000
4.645109176635742,1,1170000
135.88476181030273,1001,1170000
278.85961532592773,2001,1170000
416.745662689209,3001,1170000
513.5881900787354,4001,1170000
640.1104927062988,5001,1170000
760.5268955230713,6001,1170000
904.9346446990967,7001,1170000
1013.1802558898926,8001,1170000
4.198789596557617,1,1180000
133.0852508544922,1001,1180000
260.70332527160645,2001,1180000
396.9559669494629,3001,1180000
522.6213932037354,4001,1180000
669.2945957183838,5001,1180000
760.0886821746826,6001,1180000
890.6259536743164,7001,1180000
1048.2254028320312,8001,1180000
4.318952560424805,1,1190000
132.10105895996094,1001,1190000
261.04140281677246,2001,1190000
391.5143013000488,3001,1190000
515.2633190155029,4001,1190000
641.2558555603027,5001,1190000
786.4890098571777,6001,1190000
887.8579139709473,7001,1190000
1020.587682723999,8001,1190000
4.111766815185547,1,1200000
134.62519645690918,1001,1200000
263.2455825805664,2001,1200000
414.5481586456299,3001,1200000
512.5620365142822,4001,1200000
635.9243392944336,5001,1200000
771.038293838501,6001,1200000
905.8430194854736,7001,1200000
1003.1149387359619,8001,1200000
4.032611846923828,1,1210000
134.74178314208984,1001,1210000
260.24556159973145,2001,1210000
391.0682201385498,3001,1210000
514.1708850860596,4001,1210000
667.7067279815674,5001,1210000
763.216495513916,6001,1210000
887.4404430389404,7001,1210000
1039.2260551452637,8001,1210000
4.006385803222656,1,1220000
132.75551795959473,1001,1220000
261.77525520324707,2001,1220000
384.7665786743164,3001,1220000
516.3905620574951,4001,1220000
634.0208053588867,5001,1220000
784.7781181335449,6001,1220000
893.1019306182861,7001,1220000
1008.4316730499268,8001,1220000
4.262447357177734,1,1230000
133.45575332641602,1001,1230000
261.7650032043457,2001,1230000
